theta,v,t
theta,v,t
theta,v,t
356.25,0.0,9.98
356.25,0.0,10.39
356.25,0.0,10.81
356.25,0.0,11.22
356.25,0.0,11.63
356.25,0.0,12.05
356.25,0.0,12.46
356.25,0.0,12.87
356.25,0.0,13.29
356.25,0.0,13.7
356.25,0.0,14.11
356.25,0.0,14.53
356.25,0.0,14.94
356.25,0.0,15.36
356.25,0.0,15.77
theta,v,t
359.75,0.0,48.63
359.75,0.0,49.04
359.75,0.0,49.46
359.75,0.0,49.87
359.75,0.0,50.28
359.75,0.0,50.7
359.75,0.0,51.11
359.75,0.0,51.53
359.75,0.0,51.94
359.75,0.0,52.35
359.75,0.0,52.77
359.75,0.0,53.18
3.38,0.22,53.6
15.69,-0.2,54.01
350.56,-0.54,54.4
305.19,-0.55,54.8
258.31,-0.61,55.2
210.63,-0.55,55.6
168.25,-0.48,56.0
129.44,-0.4,56.5
97.5,-0.4,56.91
65.56,-0.29,57.33
42.56,-0.32,57.74
19.56,-0.16,58.16
8.38,-0.04,58.57
7.0,0.02,58.98
7.75,-0.0,59.4
7.56,0.0,59.81
7.56,0.0,60.22
7.56,0.0,60.64
7.56,0.0,61.05
7.56,0.0,61.47
7.56,0.0,61.88
7.56,0.0,62.32
7.56,0.0,62.74
7.56,0.0,63.15
7.56,0.0,63.56
7.56,0.0,63.98
7.75,-0.0,64.39
6.81,-0.09,64.81
356.56,0.03,65.22
7.25,0.3,65.64
30.13,0.22,66.05
44.06,-0.08,66.47
30.88,-0.34,66.88
5.19,-0.25,67.29
346.5,-0.17,67.7
335.75,0.06,68.12
347.75,0.29,68.54
11.75,0.31,68.95
35.56,0.22,69.37
52.0,0.08,69.78
50.25,-0.31,70.2
23.25,-0.37,70.61
354.19,-0.26,71.0
341.75,0.2,71.44
4.63,0.39,71.85
33.69,0.25,72.27
49.13,-0.04,72.68
39.31,-0.28,73.1
15.13,-0.29,73.51
352.88,-0.18,73.9
342.38,0.14,74.34
359.56,0.35,74.75
29.19,0.33,75.17
52.5,0.14,75.58
56.94,-0.13,76.0
44.81,-0.18,76.41
30.31,-0.13,76.83
22.94,-0.01,77.24
23.06,-0.0,77.65
23.69,0.21,78.07
49.31,0.53,78.48
94.19,0.58,78.89
141.38,0.5,79.31
180.0,0.47,79.72
218.94,0.49,80.13
258.88,0.48,80.55
294.56,0.38,80.96
322.44,0.25,81.37
343.31,0.37,81.79
13.81,0.41,82.2
48.44,0.47,82.62
88.63,0.48,83.03
126.19,0.39,83.44
154.19,0.22,83.86
41.06,0.12,84.27
48.88,0.03,84.69
50.06,-0.03,85.1
48.31,-0.0,85.51
48.31,0.0,85.93
48.31,-0.0,86.34
47.56,-0.01,86.75
46.88,-0.0,87.17
46.56,-0.0,87.58
46.44,0.0,88.0
46.44,0.0,88.41
46.44,0.0,88.82
46.44,0.0,89.24
46.44,0.0,89.65
46.44,0.0,90.07
46.44,0.0,90.48
46.44,0.0,90.9
46.44,0.0,91.31
46.44,0.0,91.72
46.44,0.0,92.14
46.44,0.0,92.55
46.44,0.0,92.97
46.44,0.0,93.38
46.44,0.0,93.8
46.44,0.0,94.21
46.44,-0.0,94.63
46.75,-0.01,95.04
46.31,0.0,95.46
46.63,-0.0,95.87
46.38,-0.01,96.28
46.13,-0.0,96.7
46.06,0.02,97.11
48.13,0.09,97.53
59.44,0.29,97.94
83.88,0.2,98.36
95.44,-0.09,98.77
83.0,-0.3,99.18
57.13,-0.39,99.6
22.19,-0.48,100.0
344.19,-0.46,100.0
305.25,-0.56,100.0
258.81,-0.65,101.0
202.69,-0.83,101.0
135.75,-0.85,102.0
66.13,-0.81,102.5
1.56,-0.77,102.92
298.0,-0.84,103.0
223.19,-0.88,103.0
151.0,-0.89,104.0
80.44,-0.85,104.5
11.31,-0.78,104.9
308.0,-0.84,105.0
237.31,-0.85,105.0
167.13,-0.94,106.0
88.0,-0.92,106.6
16.06,-0.83,107.0
307.94,-0.87,107.0
234.06,-0.98,107.0
154.38,-0.98,108.0
74.81,-0.92,108.7
1.19,-0.91,109.13
286.19,-0.95,109.0
204.56,-1.03,109.0
121.81,-1.04,110.0
38.75,-0.94,110.7
322.06,-0.9,111.0
248.44,-0.98,111.0
168.25,-1.02,112.0
88.69,-0.83,112.4
25.19,-0.69,112.8
333.81,-0.53,113.0
292.56,-0.43,113.0
255.44,-0.45,114.0
221.0,-0.34,114.0
195.75,-0.29,114.0
175.63,-0.13,115.0
167.19,-0.04,115.0
164.06,-0.04,116.0
161.63,-0.02,116.0
159.44,-0.02,117.0
158.75,-0.02,117.0
158.0,0.0,117.8
158.25,0.0,118.2
158.31,0.0,118.6
158.31,0.0,119.0
158.31,0.0,119.5
158.38,0.0,119.9
158.31,-0.0,120.0
158.19,0.0,120.7
158.13,-0.0,121.0
158.06,0.0,121.5
158.19,0.0,121.9
158.06,0.0,122.4
158.13,0.0,122.8
158.13,-0.0,123.0
158.06,-0.0,123.0
158.0,-0.0,124.0
158.19,0.0,124.4
158.19,-0.0,124.0
158.0,0.0,125.3
158.06,0.0,125.7
157.94,0.0,126.1
158.13,-0.0,126.0
158.13,0.0,126.9
158.19,0.0,127.3
158.19,0.0,127.7
158.13,0.0,128.2
158.25,-0.0,128.0
158.06,0.0,129.0
158.06,0.0,129.4
158.0,0.0,129.8
158.06,0.0,130.2
158.13,0.0,130.6
158.0,-0.0,131.0
157.94,0.0,131.5
158.31,-0.01,131.0
158.19,0.0,132.3
158.38,0.0,132.7
158.38,0.0,133.1
158.31,-0.0,133.0
158.38,0.0,134.0
158.69,0.01,134.4
158.81,-0.01,134.0
158.63,0.0,135.2
158.63,0.0,135.6
158.5,0.01,136.0
155.88,0.5,136.4
182.94,0.72,136.9
248.56,0.52,137.3
278.44,0.11,137.7
296.44,-0.18,138.0
286.5,0.42,138.5
298.81,-0.13,138.0
241.19,1.2,139.3
340.44,0.12,139.8
348.0,0.01,140.2
352.13,0.01,140.6
352.56,0.05,141.0
355.25,0.02,141.4
356.63,-0.02,141.0
355.94,0.0,142.2
356.25,0.0,142.7
356.5,0.0,143.1
356.63,0.0,143.5
356.69,0.0,143.9
356.75,0.0,144.3
356.75,0.0,144.7
356.81,0.0,145.1
356.88,0.0,145.6
357.0,-0.0,146.0
357.25,-0.0,146.0
357.13,0.0,146.8
357.19,-0.01,147.0
357.0,0.0,147.6
357.25,0.0,148.0
357.25,-0.0,148.0
357.31,0.0,148.9
357.31,0.0,149.3
357.38,-0.0,149.0
357.19,0.0,150.1
357.44,-0.0,150.0
357.25,0.0,150.9
357.38,-0.0,151.0
357.06,0.0,151.8
357.13,0.01,152.2
357.06,0.0,152.6
357.19,0.0,153.0
357.06,0.01,153.4
357.38,-0.0,153.0
357.25,0.0,154.3
356.0,-0.2,154.0
331.81,-0.53,155.0
286.94,-0.5,155.0
247.19,-0.51,155.0
202.94,-0.64,156.0
147.63,-0.77,156.0
80.94,-0.91,157.2
6.56,-0.86,157.63
298.0,-0.77,158.0
236.56,-0.67,158.0
182.31,-0.71,158.0
111.38,-1.16,159.0
30.0,-0.77,159.7
325.63,-0.68,160.0
271.0,-0.62,160.0
223.25,-0.42,160.0
194.06,-0.39,161.0
174.0,0.03,161.7
180.31,0.21,162.1
200.69,0.39,162.6
233.13,0.46,163.0
272.69,0.53,163.4
315.56,0.51,163.8
357.75,0.48,164.2
36.06,0.44,164.66
70.19,0.39,165.08
101.19,0.37,165.4
130.5,0.33,165.9
155.69,0.23,166.3
173.94,0.14,166.7
181.75,-0.03,167.0
178.06,-0.11,167.0
168.13,-0.14,168.0
156.06,-0.17,168.0
141.75,-0.17,168.0
126.75,-0.24,169.0
105.88,-0.31,169.0
79.0,-0.44,170.0
39.75,-0.61,170.4
346.75,-0.81,170.0
281.5,-0.77,171.0
221.13,-0.68,171.0
165.5,-0.62,172.0
115.94,-0.61,172.0
68.69,-0.56,172.9
25.63,-0.36,173.4
1.75,-0.11,173.81
0.13,0.16,174.22
13.13,0.15,174.64
25.0,0.18,175.05
42.44,0.37,175.46
72.69,0.4,175.88
106.63,0.48,176.2
148.69,0.56,176.7
195.44,0.73,177.1
